DATE_KEY,DATE_FLD,DATE_NAME,DATE_KEY_LY,DATE_FLD_LY
6210,2023-01-01 00:00:00.000,Sunday,5845,2022-01-01 00:00:00.000
6211,2023-01-02 00:00:00.000,Monday,5846,2022-01-02 00:00:00.000
6212,2023-01-03 00:00:00.000,Tuesday,5847,2022-01-03 00:00:00.000
6213,2023-01-04 00:00:00.000,Wednesday,5848,2022-01-04 00:00:00.000
6214,2023-01-05 00:00:00.000,Thursday,5849,2022-01-05 00:00:00.000
6215,2023-01-06 00:00:00.000,Friday,5850,2022-01-06 00:00:00.000
6216,2023-01-07 00:00:00.000,Saturday,5851,2022-01-07 00:00:00.000
6217,2023-01-08 00:00:00.000,Sunday,5852,2022-01-08 00:00:00.000
6218,2023-01-09 00:00:00.000,Monday,5853,2022-01-09 00:00:00.000
6219,2023-01-10 00:00:00.000,Tuesday,5854,2022-01-10 00:00:00.000
6220,2023-01-11 00:00:00.000,Wednesday,5855,2022-01-11 00:00:00.000
6221,2023-01-12 00:00:00.000,Thursday,5856,2022-01-12 00:00:00.000
6222,2023-01-13 00:00:00.000,Friday,5857,2022-01-13 00:00:00.000
6223,2023-01-14 00:00:00.000,Saturday,5858,2022-01-14 00:00:00.000
6224,2023-01-15 00:00:00.000,Sunday,5859,2022-01-15 00:00:00.000
6225,2023-01-16 00:00:00.000,Monday,5860,2022-01-16 00:00:00.000
6226,2023-01-17 00:00:00.000,Tuesday,5861,2022-01-17 00:00:00.000
6227,2023-01-18 00:00:00.000,Wednesday,5862,2022-01-18 00:00:00.000
6228,2023-01-19 00:00:00.000,Thursday,5863,2022-01-19 00:00:00.000
6229,2023-01-20 00:00:00.000,Friday,5864,2022-01-20 00:00:00.000
6230,2023-01-21 00:00:00.000,Saturday,5865,2022-01-21 00:00:00.000
6231,2023-01-22 00:00:00.000,Sunday,5866,2022-01-22 00:00:00.000
6232,2023-01-23 00:00:00.000,Monday,5867,2022-01-23 00:00:00.000
6233,2023-01-24 00:00:00.000,Tuesday,5868,2022-01-24 00:00:00.000
6234,2023-01-25 00:00:00.000,Wednesday,5869,2022-01-25 00:00:00.000
6235,2023-01-26 00:00:00.000,Thursday,5870,2022-01-26 00:00:00.000
6236,2023-01-27 00:00:00.000,Friday,5871,2022-01-27 00:00:00.000
6237,2023-01-28 00:00:00.000,Saturday,5872,2022-01-28 00:00:00.000
6238,2023-01-29 00:00:00.000,Sunday,5873,2022-01-29 00:00:00.000
6239,2023-01-30 00:00:00.000,Monday,5874,2022-01-30 00:00:00.000
6240,2023-01-31 00:00:00.000,Tuesday,5875,2022-01-31 00:00:00.000
6241,2023-02-01 00:00:00.000,Wednesday,5876,2022-02-01 00:00:00.000
6242,2023-02-02 00:00:00.000,Thursday,5877,2022-02-02 00:00:00.000
6243,2023-02-03 00:00:00.000,Friday,5878,2022-02-03 00:00:00.000
6244,2023-02-04 00:00:00.000,Saturday,5879,2022-02-04 00:00:00.000
6245,2023-02-05 00:00:00.000,Sunday,5880,2022-02-05 00:00:00.000
6246,2023-02-06 00:00:00.000,Monday,5881,2022-02-06 00:00:00.000
6247,2023-02-07 00:00:00.000,Tuesday,5882,2022-02-07 00:00:00.000
6248,2023-02-08 00:00:00.000,Wednesday,5883,2022-02-08 00:00:00.000
6249,2023-02-09 00:00:00.000,Thursday,5884,2022-02-09 00:00:00.000
6250,2023-02-10 00:00:00.000,Friday,5885,2022-02-10 00:00:00.000
6251,2023-02-11 00:00:00.000,Saturday,5886,2022-02-11 00:00:00.000
6252,2023-02-12 00:00:00.000,Sunday,5887,2022-02-12 00:00:00.000
6253,2023-02-13 00:00:00.000,Monday,5888,2022-02-13 00:00:00.000
6254,2023-02-14 00:00:00.000,Tuesday,5889,2022-02-14 00:00:00.000
