DATE_KEY,STORE_KEY,SALE_NET_VAL
6210,44538,998
6210,44538,249
6210,44538,1399
6210,44538,400
6210,44538,400
6210,44538,300
6210,44538,300
6210,44538,300
6210,44538,499.75
6210,44538,399
6210,44538,399
6210,44538,1199
6210,44538,879
6210,44538,300
6210,44538,529
6210,44538,149
6210,44538,99.75
6210,44538,379
6210,44538,949
6210,44538,149
6210,44538,249.75
6210,44538,39
6210,44538,78
6210,44538,799.75
6210,44538,849
6210,44538,849
6210,44538,119
6210,44538,159.75
6210,44538,429
6210,44538,359
6210,44538,3499
6210,44538,799
6210,44538,279
6210,44538,436
6210,44538,269
6210,44538,698
6210,44538,1199
6210,44538,699
6210,44538,2999
6210,44538,1199
6210,44538,399.75
6210,44538,89
6210,44538,269
6210,44538,129
6210,44538,395
6210,44538,258
6210,44538,299
6210,44538,299.75
6210,44538,699.75
6210,44538,1099
6210,44538,99
6210,44538,2599
6210,44538,149
6210,44538,329.75
6210,44538,119
6210,44538,249
6210,44538,199
6210,44538,400
6210,44538,399
6210,44538,299.75
6210,44538,158
6210,44538,500
6210,44538,199
6210,44538,399
6210,44538,129
6210,44538,549
6210,44538,999
6210,44538,149
6210,44538,2499
6210,44538,179.25
6210,44538,449.75
6210,44538,549
6210,44538,1299
6210,44538,2699
6210,44538,800
6210,44538,349
6210,44538,449.75
6210,44538,375
6210,44538,499
6210,44538,7499
6210,44538,31999
6210,44538,149
6210,44538,1200
6210,44538,999
6210,44538,0
6210,44538,499
6210,44538,319
6210,44538,299
6210,44538,300
6210,44538,749
6210,44538,1299
6210,44538,329.75
6210,44538,349.75
6210,44538,200
6210,44538,200
6210,44538,179
6210,44538,149
6210,44538,159
6210,44538,1999
6210,44538,999
6210,44538,204
6210,44538,149
6210,44538,429.75
6210,44538,449
6210,44538,449
6210,44538,529
6210,44538,849
6210,44538,1329
6210,44538,3000
6210,44538,0
6210,44538,916
6210,44538,299
6210,44538,599
6210,44538,699
6241,44538,599
6241,44538,599
6241,44538,699
6241,44538,1999
6241,44538,329
6241,44538,79
6241,44538,1099
6241,44538,50
6241,44538,599
6241,44538,549
6241,44538,2199
6241,44538,408
6241,44538,800
6241,44538,300
6241,44538,699
6241,44538,449
6241,44538,916
6241,44538,699
6241,44538,2500
6241,44538,99.75
6241,44538,1599
6241,44538,1199
6241,44538,249.75
6241,44538,799
6241,44538,899
6241,44538,799
6241,44538,699
6241,44538,299
6241,44538,1199
6241,44538,2699
6241,44538,500
6241,44538,1499
6241,44538,149
6241,44538,250
6241,44538,549
6241,44538,800
6241,44538,149
6241,44538,199
6210,44538,3000
6210,44538,2800
6210,44538,549
6210,44538,1099
6210,44538,1800
6210,44538,549
6210,44538,149
6210,44538,3000
6210,44538,399
6210,44538,2700
6210,44538,700
6210,44538,1000
6210,44538,1800
6210,44538,900
6210,44538,3499
6210,44538,1099
6210,44538,699
6210,44538,298
6210,44538,649
6210,44538,149
6210,44538,649
6210,44538,1800
6210,44538,3499
6210,44538,2500
6210,44538,1000
6210,44538,1800
6210,44538,1899
6210,44538,699
6210,44538,1000
6210,44538,3499
6210,44538,2500
6210,44538,599
6210,44538,1800
6210,44538,1000
6210,44538,1799
6210,44538,79
6210,44538,549
6210,44538,1000
6241,44538,159
6241,44538,1899
6241,44538,499
6241,44538,799
6241,44538,299
6241,44538,399
6241,44538,99
6241,44538,329.75
6241,44538,150
6241,44538,1599
6241,44538,1999
6241,44538,2499
6241,44538,499
6241,44538,2299
6241,44538,998
6241,44538,499
6241,44538,499
6241,44538,499
6241,44538,0
6241,44538,749
6241,44538,269
6241,44538,269
6241,44538,269
6241,44538,129
6241,44538,1197
6241,44538,145
6241,44538,699
6241,44538,699
6241,44538,1199
6241,44538,599
6241,44538,4000
6241,44538,2398
6241,44538,599
6241,44538,469
6241,44538,1199
6241,44538,749
6241,44538,749
6241,44538,0
6241,44538,1199
6241,44538,649
6241,44538,179.75
6241,44538,799
6241,44538,599.75
6241,44538,600
6241,44538,900
6241,44538,916
6241,44538,999
6241,44538,259.75
6241,44538,1433
6241,44538,199
6241,44538,1399
6241,44538,1299
6241,44538,79
6241,44538,4799.75
6241,44538,449
6241,44538,798
6241,44538,229.75
6241,44538,534
6241,44538,149.75
6241,44538,199
6241,44538,799
6241,44538,699
6241,44538,2399
6241,44538,749
6241,44538,149
6241,44538,250
6241,44538,499
6241,44538,579
6241,44538,135
6241,44538,699
6241,44538,99.75
6241,44538,599
6241,44538,599.75
6241,44538,499.75
6241,44538,389
6241,44538,1699.75
6210,44538,449
6210,44538,329.75
6210,44538,849
6210,44538,749
6210,44538,549
6210,44538,499.75
6210,44538,1500
6210,44538,0
6210,44538,499
6210,44538,355
6210,44538,149
6210,44538,1499.5
6210,44538,329
6210,44538,499
6210,44538,699
6210,44538,249.75
6210,44538,299.75
6210,44538,400
6210,44538,499
6210,44538,149
6210,44538,1099
6210,44538,299
6210,44538,200
6210,44538,199
6210,44538,3999
6210,44538,149
6210,44538,350
6210,44538,949
6210,44538,649
6210,44538,1799
6210,44538,1499
6210,44538,1099
6210,44538,89.75
6210,44538,199
6210,44538,699.75
6210,44538,899
6210,44538,799
6210,44538,149
6241,44557,0
6241,44557,2399
6241,44557,2499
6241,44557,1499
6241,44557,999
6241,44557,3599
6241,44557,1199
6241,44557,850
6241,44557,599
6241,44557,665
6241,44557,425
6241,44557,899
6241,44557,199
6241,44557,199
6241,44557,299.5
6241,44557,1750
6241,44557,0
6241,44557,769
6241,44557,199
6241,44557,1399
6241,44557,499
6241,44557,499
6241,44557,249
6241,44557,300
6241,44557,1000
6241,44557,1699
6241,44557,649
6241,44557,479
6241,44557,399.75
6241,44557,329
6241,44557,399.75
6241,44557,99
6241,44557,1999
6241,44557,135
6241,44557,149
6241,44557,258
6241,44557,300
6241,44557,350
6210,44538,1032
6210,44538,200
6210,44538,329
6210,44538,149
6210,44538,8999
6210,44538,1699
6210,44538,699.75
6210,44538,199.75
6210,44538,545
6210,44538,449
6210,44538,879
6210,44538,400
6210,44538,1099
6210,44538,1500
6210,44538,1999
6210,44538,1499
6210,44538,278
6210,44538,999
