STORE_KEY,STORE_CODE,STORE_DESCRIPTION
44131,132bcce5,bc85db49
44133,f493e1e2,b42472ff
44141,e7ff79b4,cb08a0ad
44143,09f11898,e791a882
44144,7ef6280e,abccf0ae
44150,9e23c110,fda658ad
44166,bb4c13b0,e1bdf659
44167,25288613,b578e1f6
44168,522fb685,eedba7f3
44169,cb26e73f,4ab89467
44170,bc21d7a9,14aa024e
44172,36441e45,4aedc98a
44173,4f98a6e1,3670205b
44175,165c9cc6,de1c9447
44176,86e38157,a25c9041
44180,818e454e,b4a65f4e
44182,a7b97b83,4825808c
44190,a962f3b1,afaa7d88
44205,76021c72,ff62f610
44206,01052ce4,4c818a5e
44207,e1d0c5fa,2df3cd56
44208,6cd8c80f,18da7eb5
44209,b76301d9,df603774
44212,8abb940e,da39de17
44213,3cddb933,fa8edd6c
44214,4bda89a5,b0a5a57a
44215,d5be1c06,ee51b2e3
44216,a2b92c90,23a71b89
44217,e9ba9513,a7ffec06
44218,c7755ebe,7c1ebb9b
44223,c064314f,b4fa10ec
44224,5e00a4ec,4eefa0f4
44231,6af77441,70e8c8d2
44248,83e3d644,3e07dd47
44262,492e13fe,6ace2c42
44307,536dced2,f1686c17
44341,0e9cdc81,8b33a84c
44342,799bec17,9c2b2267
44355,ef0b4dc8,22b2c699
44356,4cb74dbc,f3402263
44362,77406425,84e0c5e9
44370,072a90aa,10430dd8
44374,2d45bb3e,e7886f27
44384,e924f186,df317eed
44404,a8208be6,f18fec5b
44416,b44cea84,e0ae74ad
44428,eb3e65bc,a3e60aaf
44429,f1e4b1c1,3e4adc29
44431,c4261e0b,45e6f38c
44433,239e330c,2390e862
44435,476c929d,5ad13172
44465,8394d174,e313817d
44475,97958d3b,3dbb8d1d
44478,f3fe25fb,57f887a5
44493,a04db6cb,9cbe1cd3
44499,642cfc73,c7de3a2c
44501,994e0509,ea8b9d23
44505,5d2f4fb1,c09bf9d6
44508,cc4b2326,e4260408
44511,bdfaa6af,229c3695
44515,bccfd9c8,f10ac065
44528,9a61ee54,9142defc
44533,716fd86b,eb180b7c
44534,d0be4b15,cb88ad81
44535,49b71aaf,78b38819
44536,3eb02a39,7fee5757
44537,a0d4bf9a,135e9a89
44538,d7d38f0c,3db96c1c
44539,4edadeb6,fabde994
44540,39ddee20,6f9cb83e
44541,de65c327,0300ff36
44542,306ba20b,c8b59ab9
44543,ae0f37a8,1f8df3b8
44544,d908073e,37512baf
44545,40015684,d4299c7d
44546,37066612,8d0f32db
44547,ba0e6be7,334a7cf4
44548,cd095b71,d8a32c62
44549,54000acb,e18bfd43
44551,bd63affe,0bbbc4b3
44552,ca649f68,5c2f50df
44553,246afe44,2d651d42
44554,b4d5e3d5,353c95a5
44555,c3d2d343,7e7aa031
44556,5adb82f9,a0ab9574
44557,2ddcb26f,e3df592e
44558,b3b827cc,91542548
44559,c4bf175a,bcc32a37
44560,5db646e0,a8852a8b
44561,2ab17676,09b42c9c
44562,ea0b1adb,9104f4ca
44563,04057bf7,de774af2
44564,73024b61,51f20601
44565,ed66dec2,6da4e2c0
44566,0368bfee,d0beedb4
44567,746f8f78,e800e531
44568,e4d092e9,8ba4ef93
44569,93d7a27f,b34011b1
44571,7dd9c353,12e40215
44572,e3bd56f0,24434358
44573,94ba6666,8e0c8986
44574,0db337dc,48fb0819
44576,5542729c,d7e7d174
44577,29e99a1b,c30b3d9f
44579,c7e7fb37,ab803ae8
44580,0adef3c5,e55306be
44584,23073a5d,01b02ea3
44589,c1514e28,563a68de
44590,5c6d37e6,57ca4c37
44591,e86689d1,cc0f05ba
44592,d0274244,61cae13a
44596,e71177d5,450555ea
44597,90164743,357ca9d4
44598,08b360cf,365fbc9e
44599,3bb07d2a,0b2bab5d
44601,8a229d5f,51c8b416
44604,1df044d7,1fc331f5
44605,90f84922,b433a71c
44606,e092bdad,cef11531
44608,ee49359f,50f5cd19
44610,5a428ba8,f8ab3f33
44611,c34bda12,2953e950
44612,2a287f27,e7e24651
44613,b3212e9d,300754d0
44617,53f4c783,5b71bf33
44618,24f3f715,dd772571
44619,cafd9639,534acd2a
44620,47f59bcc,3ae040f7
44622,d9910e6f,038ae016
44623,3e292368,3918f53f
44624,a72072d2,f2d16126
44625,4e43d7e7,54efb3db
44626,3944e771,db2c1c56
44627,d74a865d,a003ccf6
44628,68ede07b,33fc8e79
44629,1fead0ed,c7376374
44630,1a9d80ce,8288c9cc
44631,cd905220,f4824bb0
44632,a9fbfae0,99dc8677
44633,b0e0cba1,58ce7412
44634,2907947a,57df7bef
44635,6d9ab058,2f250001
44636,ba9762b6,a3797846
44637,702da03c,ff7881e4
44638,9d0c2a4d,e317fd11
44639,defcca76,605bfb91
44640,612cab60,c3676159
44641,004754b3,eca8e8dc
44642,5499039a,6f680894
44643,091f16f9,6a54191f
44644,3129da5c,93c3d498
44645,f7bc0abf,535df4d5
44646,59836e94,8371da91
44651,84f9156d,e0318ca2
44652,b00ec5c0,1113e221
44653,2b6a0770,9d559c69
44654,80bb3a29,3de7c862
44655,8b17e238,20594d50
44656,fc10d2ae,43ff4286
44657,91ba3175,82962d45
44658,a5d4e889,8ededcab
44659,30f2ab5a,dd616d93
44660,977b835a,85f3c6f3
44661,0e72d2e0,a8f7abb4
44662,7975e276,bc2c8c72
44663,7ab4074a,92a4a345
